ano_orcamento;cod_centro;desc_centro;grupo_centro
2017;2017-30310010101;GERENCIA DE EDUCACAO;GESTÃO DA EDUCAÇÃO
2017;2017-30310010102;ASSES POL EDUCACIONAIS E NORMATIZACAO;GESTÃO DA EDUCAÇÃO
2017;2017-30310010103;NUCLEO DE EDUCACAO A DISTANCIA;GESTÃO DA EDUCAÇÃO
2017;2017-30310010104;NUCLEO DE ACOES MOVEIS;GESTÃO DA EDUCAÇÃO
2017;2017-30310010105;EVENTOS ESCOLARES;GESTÃO DA EDUCAÇÃO
2017;2017-30310010106;AMPLIAC. ADEQ. CETEC NAVIRAI;GESTÃO DA EDUCAÇÃO
2017;2017-30310010108;GESTAO DA EDUCACAO PROFISSIONAL;GESTÃO DA EDUCAÇÃO
2017;2017-30310010109;SGE TOTVS EDUCACIONAL;GESTÃO DA EDUCAÇÃO
2017;2017-30310010110;TAA - MS - LMS IMPL E AQUIS DE LICENÇAS;GESTÃO DA EDUCAÇÃO
2017;2017-30310010111;PROJ NOVA ESCOLA SESI TRES LAGOAS;GESTÃO DA EDUCAÇÃO
2017;2017-30310010112;REFORMA DA UNIDADE DE CORUMBA;GESTÃO DA EDUCAÇÃO
2017;2017-30310010113;REFORMA DA UNIDADE DE DOURADOS;GESTÃO DA EDUCAÇÃO
2017;2017-30310010114;PROMOCAO DA EDU PARA IND COMPETITIVA;GESTÃO DA EDUCAÇÃO
2017;2017-30310010116;GESTAO DAS ACOES DE EDUCACAO;GESTÃO DA EDUCAÇÃO
2017;2017-30310010117;GERENCIA DA AREA DE EDUCACAO;GESTÃO DA EDUCAÇÃO
2017;2017-30310010119;REDE DE BIBLIOTECAS;GESTÃO DA EDUCAÇÃO
2017;2017-30310010120;EDUCACAO BASICA;GESTÃO DA EDUCAÇÃO
2017;2017-30310010121;EDUCACAO CONTINUADA;GESTÃO DA EDUCAÇÃO
2017;2017-30310010122;CONSTRUCAO NOVO CETEC SENAI CG;GESTÃO DA EDUCAÇÃO
2017;2017-30310010123;AMPL ADEQ AGENCIA SENAI SONORA;GESTÃO DA EDUCAÇÃO
2017;2017-30310010124;MODERNIZACAO FATEC SENAI CORUMBA;GESTÃO DA EDUCAÇÃO
2017;2017-30310010125;AMPLIA. ADEQ. CETEC SENAI RIO VERDE;GESTÃO DA EDUCAÇÃO
2017;2017-30310010126;MODERNIZACAO SENAI TRES LAGOAS;GESTÃO DA EDUCAÇÃO
2017;2017-30310010133;CISS SESI SENAI NOVA ANDRADINA;GESTÃO DA EDUCAÇÃO
2017;2017-30310010134;CISS SESI SENAI MARACAJU;GESTÃO DA EDUCAÇÃO
2017;2017-30310010137;CONEXAO MUNDO SENAI MS;GESTÃO DA EDUCAÇÃO
2017;2017-30310010138;NADANDO COM GUSTAVO BORGES;GESTÃO DA EDUCAÇÃO
2017;2017-30310010139;PDI ENSINO SUP ESCOLA DA CONSTRUCAO;GESTÃO DA EDUCAÇÃO
2017;2017-30310010140;GESTÃO JUROS AMORTIZAÇÕES BNDES EP;GESTÃO DA EDUCAÇÃO
2017;2017-30310010190;AÇÕES ESTRATEGICAS EDUCAÇÃO;GESTÃO DA EDUCAÇÃO
2018;2018-30310010101;GERENCIA DA EDUCACAO;GESTÃO DA EDUCAÇÃO
2018;2018-30310010102;ASSES POL EDUCACIONAIS E NORMATIZACAO;GESTÃO DA EDUCAÇÃO
2018;2018-30310010103;NUCLEO DE EDUCACAO A DISTANCIA;GESTÃO DA EDUCAÇÃO
2018;2018-30310010104;NUCLEO DE ACOES MOVEIS;GESTÃO DA EDUCAÇÃO
2018;2018-30310010105;EVENTOS ESCOLARES;GESTÃO DA EDUCAÇÃO
2018;2018-30310010106;STARTUP SESI;GESTÃO DA EDUCAÇÃO
2018;2018-30310010107;GESTAO ADMINISTRATIVA OPERACIONAL;GESTÃO DA EDUCAÇÃO
2018;2018-30310010108;GESTAO DA EDUCACAO PROFISSIONAL;GESTÃO DA EDUCAÇÃO
2018;2018-30310010109;PROJETO GERAÇÃO FOTOVOLTAICA;GESTÃO DA EDUCAÇÃO
2018;2018-30310010110;GESTAO DE MERCADO E PROJETOS;GESTÃO DA EDUCAÇÃO
2018;2018-30310010111;MIDIAS PUBLICITARIAS EDUCAÇÃO;GESTÃO DA EDUCAÇÃO
2018;2018-30310010112;REFORMA DA UNIDADE DE CORUMBA;GESTÃO DA EDUCAÇÃO
2018;2018-30310010113;AÇÕES REGIONAIS - EDUCAÇÃO;GESTÃO DA EDUCAÇÃO
2018;2018-30310010114;PROMOCAO DA EDU PARA IND COMPETITIVA;GESTÃO DA EDUCAÇÃO
2018;2018-30310010115;REVITALIZACAO SALAS DE AULAS MOVEIS E AL;GESTÃO DA EDUCAÇÃO
2018;2018-30310010116;GESTÃO DAS AÇÕES DE EDUCAÇÃO;GESTÃO DA EDUCAÇÃO
2018;2018-30310010117;GERENCIA DA AREA DE EDUCACAO;GESTÃO DA EDUCAÇÃO
2018;2018-30310010118;AMPLIACAO ESTACIONAMENTO FATEC CG;GESTÃO DA EDUCAÇÃO
2018;2018-30310010119;REDE DE BIBLIOTECAS;GESTÃO DA EDUCAÇÃO
2018;2018-30310010120;EDUCACAO BASICA;GESTÃO DA EDUCAÇÃO
2018;2018-30310010121;EDUCACAO CONTINUADA;GESTÃO DA EDUCAÇÃO
2018;2018-30310010122;CONSTRUCAO NOVO CETEC SENAI CG;GESTÃO DA EDUCAÇÃO
2018;2018-30310010123;REFORMA DO CISS/MARACAJU;GESTÃO DA EDUCAÇÃO
2018;2018-30310010124;REFORMA DO CISS/AP. DO TABOADO;GESTÃO DA EDUCAÇÃO
2018;2018-30310010125;REFORMA DO CISS/NAVIRAI;GESTÃO DA EDUCAÇÃO
2018;2018-30310010126;MELHORIA DO AMBIENTE DE TRABALHO;GESTÃO DA EDUCAÇÃO
2018;2018-30310010127;REFORMA NA UNIDADE SESI EM DOURADOS MS;GESTÃO DA EDUCAÇÃO
2018;2018-30310010128;ASSESSORIA DE ENSINO SUPERIOR;GESTÃO DA EDUCAÇÃO
2018;2018-30310010129;EDUCACAO PROFISSIONAL;GESTÃO DA EDUCAÇÃO
2018;2018-30310010130;GERENCIA DE EDUCACAO;GESTÃO DA EDUCAÇÃO
2018;2018-30310010131;ASSESSORIA DE EDUCACAO A DISTANCIA;GESTÃO DA EDUCAÇÃO
2018;2018-30310010132;GERENCIA DE STARTUP;GESTÃO DA EDUCAÇÃO
2018;2018-30310010138;NADANDO COM GUSTAVO BORGES;GESTÃO DA EDUCAÇÃO
2018;2018-30310010139;PDI ENSINO SUP ESCOLA DA CONSTRUCAO;GESTÃO DA EDUCAÇÃO
2018;2018-30310010140;REFORMA NA UNIDADE SESI CAMPO GRANDE;GESTÃO DA EDUCAÇÃO
2018;2018-30310010141;PLANO DE MODERNIZACAO TECNOL 2018-2021;GESTÃO DA EDUCAÇÃO
2018;2018-30310010142;GESTAO JUROS AMORTIZACOES BNDES;GESTÃO DA EDUCAÇÃO
2018;2018-30310010190;ACOES ESTRATEGICAS EDUCACAO;GESTÃO DA EDUCAÇÃO
2019;2019-30310010102;ASSES POL EDUCACIONAIS E NORMATIZACAO;GESTÃO DA EDUCAÇÃO
2019;2019-30310010104;NUCLEO DE ACOES MOVEIS;GESTÃO DA EDUCAÇÃO
2019;2019-30310010105;EVENTOS ESCOLARES;GESTÃO DA EDUCAÇÃO
2019;2019-30310010106;STARTUP SESI;GESTÃO DA EDUCAÇÃO
2019;2019-30310010107;GESTAO ADMINISTRATIVA OPERACIONAL;GESTÃO DA EDUCAÇÃO
