ano_orcamento;cod_conta;desc_conta;grupo_contas;grupo_contas_n2;grupo_contan3
2017;214-2017-11010401;SEDE - EM TRÂNSITO;Outras;Outras;AJUSTAR
2017;214-2017-11020101001;BB APL 102686-0 SEDE;Outras;Outras;AJUSTAR
2017;214-2017-11020101451;BB APL 102686 CDB DI SWAP SLOGAN;Outras;Outras;AJUSTAR
2017;214-2017-11020102001;CEF APL 00328-4;Outras;Outras;AJUSTAR
2017;214-2017-11020102103;CEF APL CDB PROG 000888;Outras;Outras;AJUSTAR
2017;214-2017-11020102110;CEF 328-4 APLIC. CDB PROG. 000479;Outras;Outras;AJUSTAR
2017;214-2017-11020102111;CEF 328-4 APLIC. CDB PROG. 000297;Outras;Outras;AJUSTAR
2017;214-2017-11020102112;CEF 328-4 APLIC. CDB PROG. 000666;Outras;Outras;AJUSTAR
2017;214-2017-11020102113;CEF 328-4 APLIC. CDB PROG. 020217;Outras;Outras;AJUSTAR
2017;214-2017-11030101001;CLIENTES DIVERSOS;Outras;Outras;AJUSTAR
2017;214-2017-11030101002;CLIENTES INADIMPLÊNCIA - CADIN;Outras;Outras;AJUSTAR
2017;214-2017-11030101003;CLIENTES INADIMPLÊNCIA - ZEUS;Outras;Outras;AJUSTAR
2017;214-2017-11030101005;CLIENTES FATURAMENTO;Outras;Outras;AJUSTAR
2017;214-2017-11030101006;CLIENTES MENSALIDADE;Outras;Outras;AJUSTAR
2017;214-2017-11030101007;CLIENTES MENSALIDADE - SGE PF;Outras;Outras;AJUSTAR
2017;214-2017-11030101008;CLIENTES MENSALIDADE - SGE PJ;Outras;Outras;AJUSTAR
2017;214-2017-11030101009;CLIENTES INADIMPLENTES - SGE;Outras;Outras;AJUSTAR
2017;214-2017-11030101999;CLIENTES TRANSITÓRIA;Outras;Outras;AJUSTAR
2017;214-2017-11030102001;CLIENTES EXERCÍCIOS ANTERIORES - CADIN;Outras;Outras;AJUSTAR
2017;214-2017-11030102002;CLIENTES EXERCÍCIOS ANTERIORES - INTEG;Outras;Outras;AJUSTAR
2017;214-2017-11030102003;CLIENTES EXERCÍCIOS ANTERIORES - SAE;Outras;Outras;AJUSTAR
2017;214-2017-11030102004;CLIENTES EXERCÍCIOS ANTERIORES - ODONTO;Outras;Outras;AJUSTAR
2017;214-2017-11030102005;CLIENTES CHEQUES DEVOLVIDOS;Outras;Outras;AJUSTAR
2017;214-2017-11030102006;CLIENTES EXERCÍCIOS ANTERIORES-MENSALIDA;Outras;Outras;AJUSTAR
2017;214-2017-11030102007;CLIENTES EXERCÍCIOS ANTERIORES-FATURAMEN;Outras;Outras;AJUSTAR
2017;214-2017-11030102008;CLIENTES EXERCÍCIOS ANTERIORES-NEG;Outras;Outras;AJUSTAR
2017;214-2017-11030201001;(-) PROV CRÉD. LIQ. DUV. CLIENTES-CADIN;Outras;Outras;AJUSTAR
2017;214-2017-11030201002;(-) PROV CRÉD. LIQ. DUV. CLIENTES-ZEUS;Outras;Outras;AJUSTAR
2017;214-2017-11030201004;(-)PROV CRÉD.LIQ.DUV.CL-SAE ODONT IN CHD;Outras;Outras;AJUSTAR
2017;214-2017-11030201005;(-)PROV CRÉD.LIQ.DUV.CL SGE;Outras;Outras;AJUSTAR
2017;214-2017-11030299001;(-)PROV CRÉD. LIQ. DUV. OUTROS CRED.-PF;Outras;Outras;AJUSTAR
2017;214-2017-11030299002;(-)PROV CRÉD. LIQ. DUV. OUTROS CRED.-PJ;Outras;Outras;AJUSTAR
2017;214-2017-11030301001;ADIANTAMENTOS DE SALÁRIOS;Outras;Outras;AJUSTAR
2017;214-2017-11030302001;ADIANTAMENTOS DE FÉRIAS;Outras;Outras;AJUSTAR
2017;214-2017-11030303001;ADIANTAMENTOS DE 13 SALÁRIO;Outras;Outras;AJUSTAR
2017;214-2017-11030304001;ADIANTAMENTOS PARA DESP. MÉDICAS;Outras;Outras;AJUSTAR
2017;214-2017-11030399001;ADIANTAMENTO DE VALE TRANSPORTE;Outras;Outras;AJUSTAR
2017;214-2017-11030399999;OUTROS ADIANTAMENTOS A EMPREGADOS;Outras;Outras;AJUSTAR
2017;214-2017-11030401001;ADIANTAMENTOS PARA VIAGENS;Outras;Outras;AJUSTAR
2017;214-2017-11030402001;ADIANTAMENTOS A TERCEIROS;Outras;Outras;AJUSTAR
2017;214-2017-11030403002;FUNDO ROTATIVO - CORUMBÁ;Outras;Outras;AJUSTAR
2017;214-2017-11030403003;FUNDO ROTATIVO - TRÊS LAGOAS;Outras;Outras;AJUSTAR
2017;214-2017-11030403004;FUNDO ROTATIVO - DOURADOS;Outras;Outras;AJUSTAR
2017;214-2017-11030403005;FUNDO ROTATIVO - CAMPO GRANDE;Outras;Outras;AJUSTAR
2017;214-2017-11030403008;FUNDO ROTATIVO - BONITO;Outras;Outras;AJUSTAR
2017;214-2017-11030403009;FUNDO ROTATIVO - NAVIRAÍ;Outras;Outras;AJUSTAR
2017;214-2017-11030403010;FUNDO ROTATIVO - AP. TABOADO;Outras;Outras;AJUSTAR
2017;214-2017-11030403012;FUNDO ROTATIVO - MARACAJU;Outras;Outras;AJUSTAR
2017;214-2017-11030403013;FUNDO ROTATIVO - UNISENG;Outras;Outras;AJUSTAR
2017;214-2017-11030403999;ADIANTAMENTO ESPECIAL;Outras;Outras;AJUSTAR
2017;214-2017-11030499001;OUTROS ADIANTAMENTOS CONCEDIDOS;Outras;Outras;AJUSTAR
2017;214-2017-11030501001;ANTECIPAÇÕES SOBRE CONTRATOS;Outras;Outras;AJUSTAR
2017;214-2017-11030601001;DEPARTAMENTO NACIONAL;Outras;Outras;AJUSTAR
2017;214-2017-11030701001;CHEQUES DEVOLVIDOS;Outras;Outras;AJUSTAR
2017;214-2017-11030701002;CLIENTES COBRANÇA JUDICIAL;Outras;Outras;AJUSTAR
2017;214-2017-11030702001;CARTÃO DE CRÉDITO A RECEBER;Outras;Outras;AJUSTAR
2017;214-2017-11030801001;INSS CONTRIBUIÇÃO COMPULSÓRIA;Outras;Outras;AJUSTAR
2017;214-2017-11030801007;CONTRIBUIÇÃO DIRETA;Outras;Outras;AJUSTAR
2017;214-2017-11030801008;CONTRIBUIÇÃO INDIRETA;Outras;Outras;AJUSTAR
2017;214-2017-11030801009;AUXÍLIO MÍNIMO - DIRETO/INDIRETO;Outras;Outras;AJUSTAR
2017;214-2017-11030801010;AUXÍLIO ESPECIAL - DIRETO/INDIRETO;Outras;Outras;AJUSTAR
2017;214-2017-11030801011;SUBVENÇÕES E AUXÍLIOS ORDINÁRIOS;Outras;Outras;AJUSTAR
2017;214-2017-11030801012;SUBVENÇÕES ESPECIAIS;Outras;Outras;AJUSTAR
2017;214-2017-11030801013;SUBVENÇÕES EXTRAORDINÁRIAS;Outras;Outras;AJUSTAR
2017;214-2017-11030801999;OUTRAS RECEITAS A RECEBER;Outras;Outras;AJUSTAR
2017;214-2017-11030899999;OUTRAS RECEITAS A RECEBER;Outras;Outras;AJUSTAR
2017;214-2017-11030902001;(-) RENDA DE JUROS A APROPRIAR;Outras;Outras;AJUSTAR
2017;214-2017-11031101002;BMZ COUROS LTDA;Outras;Outras;AJUSTAR
2017;214-2017-11031101003;C G R ENGENHARIA LTDA;Outras;Outras;AJUSTAR
2017;214-2017-11031101004;CARTEL COM. DE AUTOMÓVEIS TRÊS LAGOAS LT;Outras;Outras;AJUSTAR
2017;214-2017-11031101008;CORUMBÁ CALCÁRIO LTDA - EPP;Outras;Outras;AJUSTAR
2017;214-2017-11031101009;CURTUME CAMPO GRANDE INDUS. COM. E EXP;Outras;Outras;AJUSTAR
2017;214-2017-11031101011;ELEKTRO ELETRICIDADE E SERVIÇOS S/A;Outras;Outras;AJUSTAR
2017;214-2017-11031101013;ELEVA ALIMENTOS S/A;Outras;Outras;AJUSTAR
2017;214-2017-11031101014;EMPRESA BRASILEIRA DE CORREIOS E TELEGRA;Outras;Outras;AJUSTAR
2017;214-2017-11031101015;VOTORANTIM CIMENTOS S.A.;Outras;Outras;AJUSTAR
2017;214-2017-11031101016;FRIGORÍFICO PEDRA BONITA LTDA;Outras;Outras;AJUSTAR
2017;214-2017-11031101019;ENERSUL - EMPRESA ENERGÉTICA DE MS;Outras;Outras;AJUSTAR
2017;214-2017-11031101021;VEGA ENGENHARIA AMBIENTAL S/A;Outras;Outras;AJUSTAR
2017;214-2017-11031101022;POLIFORT INDUS. E COMÉRCIO DE PLÁSTICOS;Outras;Outras;AJUSTAR
2017;214-2017-11031101025;SALENCO CONSTRUÇÕES E COMÉRCIO LTDA;Outras;Outras;AJUSTAR
2017;214-2017-11031101026;SIMASUL SIDERÚRGICA LTDA;Outras;Outras;AJUSTAR
2017;214-2017-11031101028;VOTORANTIM CIMENTOS BRASIL S/A;Outras;Outras;AJUSTAR
2017;214-2017-11031101029;BRASCOOPER CBC BRAS. DE CONDUT. LTDA;Outras;Outras;AJUSTAR
2017;214-2017-11031101030;SEARA ALIMENTOS LTDA;Outras;Outras;AJUSTAR
2017;214-2017-11031101036;JUDY TEREZINHA CERQUEIRA ME;Outras;Outras;AJUSTAR
2017;214-2017-11031101037;CONCRELAGE IND DE PRÉ MOLDS DE CONCRETO;Outras;Outras;AJUSTAR
2017;214-2017-11031101038;DSM PRODUTOS NUTRICIONAIS BRASIL S.A;Outras;Outras;AJUSTAR
2017;214-2017-11031101039;CURTUME TRÊS LAGOAS LTDA;Outras;Outras;AJUSTAR
2017;214-2017-11031101040;MGS FOOS INDÚSTRIA E COMÉRCIO LTDA;Outras;Outras;AJUSTAR
2017;214-2017-11031101041;AIR LIQUIDE BRASIL LTDA;Outras;Outras;AJUSTAR
2017;214-2017-11031199001;(-) PROVISÃO P/ NOT. DÉBITO ARRE. DIRETA;Outras;Outras;AJUSTAR
2017;214-2017-11031202005;FIEMS - COMPARTILHADA FOLHA;Outras;Outras;AJUSTAR
2017;214-2017-11031202007;SENAI - COMPARTILHADA FOLHA;Outras;Outras;AJUSTAR
2017;214-2017-11031202008;IEL - COMPARTILHADA FOLHA;Outras;Outras;AJUSTAR
2017;214-2017-11031202009;SENAI - CISS FOLHA;Outras;Outras;AJUSTAR
2017;214-2017-11031399001;DESPESAS A CLASSIFICAR;Outras;Outras;AJUSTAR
2017;214-2017-11031399002;DESPESAS A CLASSIFICAR ADM;Outras;Outras;AJUSTAR
2017;214-2017-11031401001;DEPÓSITOS E EMPRÉSTIMOS COMPULSÓRIOS;Outras;Outras;AJUSTAR
2017;214-2017-11031601001;SEGUROS A RECUPERAR;Outras;Outras;AJUSTAR
2017;214-2017-11031701001;IMPOSTOS A RECUPERAR;Outras;Outras;AJUSTAR
2017;214-2017-11031799001;OUTROS IMPOSTOS A RECUPERAR;Outras;Outras;AJUSTAR
2017;214-2017-11031799002;ICMS - IMPOSTOS A RECUPERAR;Outras;Outras;AJUSTAR
2017;214-2017-11040101001;ESTOQUES PARA CONSUMO;Outras;Outras;AJUSTAR
2017;214-2017-11050199001;BRUNA DAYANE FERNANDES ARAÚJO;Outras;Outras;AJUSTAR
2017;214-2017-11050199002;MARGIT FLECK;Outras;Outras;AJUSTAR
2017;214-2017-11050199003;LIDIA CAMARGO MONTEIRO RODRIGUES;Outras;Outras;AJUSTAR
2017;214-2017-11050199004;ANDREZA SOUZA ARAÚJO;Outras;Outras;AJUSTAR
2017;214-2017-11050199005;ANATOLE VERLAINE ETGES;Outras;Outras;AJUSTAR
2017;214-2017-11050199006;CLEBER PACHECO DE ALMEIDA;Outras;Outras;AJUSTAR
2017;214-2017-11050199007;LUCIANE SILVA DA CUNHA;Outras;Outras;AJUSTAR
2017;214-2017-11050199008;CELSO ROSA DE OLIVEIRA;Outras;Outras;AJUSTAR
2017;214-2017-11050199009;ODINEY R. F. ZARACHO;Outras;Outras;AJUSTAR
2017;214-2017-11050199010;GUILHERME ZAFAR;Outras;Outras;AJUSTAR
2017;214-2017-11050199011;DENISE VILELA XAVIER;Outras;Outras;AJUSTAR
2017;214-2017-11050199012;VILMA BREY;Outras;Outras;AJUSTAR
2017;214-2017-11050199013;ANDERSON LOPES SIGIURA;Outras;Outras;AJUSTAR
2017;214-2017-11050199014;JOÃO LIMA;Outras;Outras;AJUSTAR
2017;214-2017-11050199015;EVALDO CESAR FURTADO MOREIRA;Outras;Outras;AJUSTAR
2017;214-2017-11050199016;BERGSON AMARILLA;Outras;Outras;AJUSTAR
2017;214-2017-11050199017;GIVANILDO FRANCISCO FERRA DA SILVA SENAI;Outras;Outras;AJUSTAR
2017;214-2017-11050199018;MAIKO MARTINS PINTO;Outras;Outras;AJUSTAR
2017;214-2017-11050199019;CLEBER MARTINS DA SILVA;Outras;Outras;AJUSTAR
2017;214-2017-11050199020;VIVIAN GARCIA ROGIANO;Outras;Outras;AJUSTAR
2017;214-2017-11050199021;HELTON LEAL CARDOSO;Outras;Outras;AJUSTAR
2017;214-2017-11050199022;SIDNEI LUIS GREGORY;Outras;Outras;AJUSTAR
2017;214-2017-11050199023;SILVANA ARAUJO DE BARROS;Outras;Outras;AJUSTAR
2017;214-2017-11050199024;SERGIO RICARDO CERRADA;Outras;Outras;AJUSTAR
2017;214-2017-11050199025;LEONARDO APARECIDO JERONIMO BRITO;Outras;Outras;AJUSTAR
2017;214-2017-11050199026;WALDIRENE APARECIDA GOMES;Outras;Outras;AJUSTAR
2017;214-2017-11050199027;MARIA DE LOURDES LAMA VIANA;Outras;Outras;AJUSTAR
