cod_grupo_centro;desc_grupo_centro
2017-30310010101;GESTÃO DA EDUCAÇÃO
2017-30310010102;GESTÃO DA EDUCAÇÃO
2017-30310010103;GESTÃO DA EDUCAÇÃO
2017-30310010104;GESTÃO DA EDUCAÇÃO
2017-30310010105;GESTÃO DA EDUCAÇÃO
2017-30310010106;GESTÃO DA EDUCAÇÃO
2017-30310010108;GESTÃO DA EDUCAÇÃO
2017-30310010109;GESTÃO DA EDUCAÇÃO
2017-30310010110;GESTÃO DA EDUCAÇÃO
2017-30310010111;GESTÃO DA EDUCAÇÃO
2017-30310010112;GESTÃO DA EDUCAÇÃO
2017-30310010113;GESTÃO DA EDUCAÇÃO
2017-30310010114;GESTÃO DA EDUCAÇÃO
2017-30310010116;GESTÃO DA EDUCAÇÃO
2017-30310010117;GESTÃO DA EDUCAÇÃO
2017-30310010119;GESTÃO DA EDUCAÇÃO
2017-30310010120;GESTÃO DA EDUCAÇÃO
2017-30310010121;GESTÃO DA EDUCAÇÃO
2017-30310010122;GESTÃO DA EDUCAÇÃO
2017-30310010123;GESTÃO DA EDUCAÇÃO
2017-30310010124;GESTÃO DA EDUCAÇÃO
2017-30310010125;GESTÃO DA EDUCAÇÃO
2017-30310010126;GESTÃO DA EDUCAÇÃO
2017-30310010133;GESTÃO DA EDUCAÇÃO
2017-30310010134;GESTÃO DA EDUCAÇÃO
2017-30310010137;GESTÃO DA EDUCAÇÃO
2017-30310010138;GESTÃO DA EDUCAÇÃO
2017-30310010139;GESTÃO DA EDUCAÇÃO
2017-30310010140;GESTÃO DA EDUCAÇÃO
2017-30310010190;GESTÃO DA EDUCAÇÃO
2018-30310010101;GESTÃO DA EDUCAÇÃO
2018-30310010102;GESTÃO DA EDUCAÇÃO
2018-30310010103;GESTÃO DA EDUCAÇÃO
2018-30310010104;GESTÃO DA EDUCAÇÃO
2018-30310010105;GESTÃO DA EDUCAÇÃO
2018-30310010106;GESTÃO DA EDUCAÇÃO
2018-30310010107;GESTÃO DA EDUCAÇÃO
2018-30310010108;GESTÃO DA EDUCAÇÃO
2018-30310010109;GESTÃO DA EDUCAÇÃO
2018-30310010110;GESTÃO DA EDUCAÇÃO
2018-30310010111;GESTÃO DA EDUCAÇÃO
2018-30310010112;GESTÃO DA EDUCAÇÃO
2018-30310010113;GESTÃO DA EDUCAÇÃO
2018-30310010114;GESTÃO DA EDUCAÇÃO
2018-30310010115;GESTÃO DA EDUCAÇÃO
2018-30310010116;GESTÃO DA EDUCAÇÃO
