cod_grupo_unidade;desc_grupo_unidade
214-2020-050101;INTEGRADA
214-2020-050201;INTEGRADA
214-2020-050301;INTEGRADA
214-2020-050401;INTEGRADA
214-2020-050501;INTEGRADA
214-2020-050601;INTEGRADA
214-2020-050701;INTEGRADA
214-2020-050702;INTEGRADA
214-2020-050801;INTEGRADA
214-2020-050901;INTEGRADA
214-2020-051001;INTEGRADA
214-2020-051101;INTEGRADA
214-2020-051201;INTEGRADA
214-2020-051202;INTEGRADA
214-2020-051301;INTEGRADA
214-2020-051401;INTEGRADA
214-2020-051501;INTEGRADA
214-2020-051601;INTEGRADA
214-2020-051701;INTEGRADA
214-2020-051801;INTEGRADA
214-2020-051901;INTEGRADA
214-2020-052001;INTEGRADA
214-2020-052101;INTEGRADA
214-2020-052201;INTEGRADA
214-2020-052301;INTEGRADA
214-2020-052401;INTEGRADA
214-2020-052501;INTEGRADA
214-2020-052601;INTEGRADA
214-2020-052701;INTEGRADA
214-2020-052801;INTEGRADA
214-2020-052901;INTEGRADA
214-2020-053001;INTEGRADA
214-2021-050101;INTEGRADA
214-2021-050201;INTEGRADA
214-2021-050301;INTEGRADA
214-2021-050401;INTEGRADA
214-2021-050501;INTEGRADA
214-2021-050601;INTEGRADA
214-2021-050701;INTEGRADA
214-2021-050702;INTEGRADA
214-2021-050801;INTEGRADA
214-2021-050901;INTEGRADA
214-2021-051001;INTEGRADA
214-2021-051101;INTEGRADA
214-2021-051201;INTEGRADA
214-2021-051202;INTEGRADA
214-2021-051301;INTEGRADA
214-2021-051401;INTEGRADA
214-2021-051501;INTEGRADA
214-2021-051601;INTEGRADA
214-2021-051701;INTEGRADA
214-2021-051801;INTEGRADA
214-2021-051901;INTEGRADA
214-2021-052001;INTEGRADA
214-2021-052101;INTEGRADA
214-2021-052201;INTEGRADA
214-2021-052301;INTEGRADA
214-2021-052401;INTEGRADA
214-2021-052501;INTEGRADA
214-2021-052601;INTEGRADA
214-2021-052701;INTEGRADA
214-2021-052801;INTEGRADA
214-2021-052901;INTEGRADA
214-2021-053001;INTEGRADA
214-2018-050101;INTEGRADA
214-2018-050201;INTEGRADA
214-2018-050301;INTEGRADA
214-2018-050401;INTEGRADA
214-2018-050501;INTEGRADA
214-2018-050601;INTEGRADA
214-2018-050701;INTEGRADA
214-2018-050702;INTEGRADA
214-2018-050801;INTEGRADA
214-2018-050901;INTEGRADA
214-2018-051001;INTEGRADA
214-2018-051101;INTEGRADA
214-2018-051201;INTEGRADA
214-2018-051202;INTEGRADA
214-2018-051301;INTEGRADA
214-2018-051401;INTEGRADA
214-2018-051501;INTEGRADA
214-2018-051601;INTEGRADA
214-2018-051701;INTEGRADA
214-2018-051801;INTEGRADA
214-2018-051901;INTEGRADA
214-2018-052001;INTEGRADA
214-2018-052101;INTEGRADA
214-2018-052201;INTEGRADA
214-2018-052301;INTEGRADA
214-2018-052401;INTEGRADA
214-2018-052501;INTEGRADA
214-2018-052601;INTEGRADA
214-2018-052701;INTEGRADA
214-2018-052801;INTEGRADA
214-2018-052901;INTEGRADA
214-2019-050101;INTEGRADA
214-2019-050201;INTEGRADA
214-2019-050301;INTEGRADA
214-2019-050401;INTEGRADA
214-2019-050501;INTEGRADA
214-2019-050601;INTEGRADA
214-2019-050701;INTEGRADA
214-2019-050702;INTEGRADA
214-2019-050801;INTEGRADA
214-2019-050901;INTEGRADA
214-2019-051001;INTEGRADA
214-2019-051101;INTEGRADA
214-2019-051201;INTEGRADA
214-2019-051202;INTEGRADA
214-2019-051301;INTEGRADA
214-2019-051401;INTEGRADA
214-2019-051501;INTEGRADA
214-2019-051601;INTEGRADA
214-2019-051701;INTEGRADA
214-2019-051801;INTEGRADA
214-2019-051901;INTEGRADA
214-2019-052001;INTEGRADA
214-2019-052101;INTEGRADA
214-2019-052201;INTEGRADA
214-2019-052301;INTEGRADA
214-2019-052401;INTEGRADA
214-2019-052501;INTEGRADA
214-2019-052601;INTEGRADA
214-2019-052701;INTEGRADA
214-2019-052801;INTEGRADA
214-2019-052901;INTEGRADA
214-2017-050101;INTEGRADA
214-2017-050201;INTEGRADA
214-2017-050301;INTEGRADA
214-2017-050401;INTEGRADA
214-2017-050501;INTEGRADA
214-2017-050601;INTEGRADA
214-2017-050701;INTEGRADA
214-2017-050702;INTEGRADA
214-2017-050801;INTEGRADA
214-2017-050901;INTEGRADA
214-2017-051001;INTEGRADA
214-2017-051101;INTEGRADA
214-2017-051201;INTEGRADA
214-2017-051202;INTEGRADA
214-2017-051301;INTEGRADA
214-2017-051401;INTEGRADA
214-2017-051501;INTEGRADA
214-2017-051601;INTEGRADA
214-2017-051701;INTEGRADA
214-2017-051801;INTEGRADA
214-2017-052401;INTEGRADA
214-2018-550101;COMPARTILHADA
214-2018-550201;COMPARTILHADA
214-2018-550301;COMPARTILHADA
214-2018-550401;COMPARTILHADA
214-2018-550501;COMPARTILHADA
214-2018-550601;COMPARTILHADA
214-2018-550701;COMPARTILHADA
214-2019-550101;COMPARTILHADA
214-2019-550201;COMPARTILHADA
214-2019-550301;COMPARTILHADA
214-2019-550401;COMPARTILHADA
214-2019-550501;COMPARTILHADA
214-2019-550601;COMPARTILHADA
214-2019-550701;COMPARTILHADA
214-2020-550101;COMPARTILHADA
214-2020-550201;COMPARTILHADA
214-2020-550301;COMPARTILHADA
214-2020-550401;COMPARTILHADA
214-2020-550501;COMPARTILHADA
214-2020-550601;COMPARTILHADA
214-2020-550701;COMPARTILHADA
214-2021-550101;COMPARTILHADA
214-2021-550201;COMPARTILHADA
214-2021-550301;COMPARTILHADA
214-2021-550401;COMPARTILHADA
214-2021-550501;COMPARTILHADA
214-2021-550601;COMPARTILHADA
214-2021-550701;COMPARTILHADA
214-2017-21010101;SESI - SEDE
214-2017-21010102;SESI - SEDE
214-2017-21010103;SESI - SEDE
214-2017-21010104;SESI - SEDE
214-2017-21010105;SESI - SEDE
214-2017-21010301;SESI - SEDE
214-2017-21010302;SESI - SEDE
214-2017-21010501;SESI - SEDE
214-2017-21010601;SESI - SEDE
214-2017-21010701;SESI - SEDE
214-2017-21030106;SESI - PROJETOS
214-2017-21030107;SESI - PROJETOS
214-2017-21030108;SESI - PROJETOS
214-2017-21030109;SESI - PROJETOS
214-2017-21030110;SESI - PROJETOS
214-2017-21030111;SESI - PROJETOS
214-2017-21030112;SESI - PROJETOS
214-2017-21030113;SESI - PROJETOS
214-2017-21030114;SESI - PROJETOS
214-2017-9999999999;CENTRO_EMPRESA
214-2018-21010101;SESI - SEDE
214-2018-21010102;SESI - SEDE
214-2018-21010103;SESI - SEDE
214-2018-21010104;SESI - SEDE
214-2018-21010105;SESI - SEDE
214-2018-21010301;SESI - SEDE
214-2018-21010302;SESI - SEDE
214-2018-21010401;SESI - SEDE
214-2018-21010501;SESI - SEDE
214-2018-21010601;SESI - SEDE
214-2018-21010701;SESI - SEDE
214-2018-21010801;SESI - SEDE
214-2018-21030106;SESI - PROJETOS
214-2018-21030107;SESI - PROJETOS
214-2018-21030108;SESI - PROJETOS
214-2018-21030109;SESI - PROJETOS
214-2018-21030110;SESI - PROJETOS
214-2018-21030111;SESI - PROJETOS
214-2018-21030112;SESI - PROJETOS
214-2018-21030113;SESI - PROJETOS
214-2018-21030114;SESI - PROJETOS
214-2018-21030115;SESI - PROJETOS
214-2018-9999999999;CENTRO_EMPRESA
214-2019-21010101;SESI - SEDE
214-2019-21010102;SESI - SEDE
214-2019-21010103;SESI - SEDE
214-2019-21010104;SESI - SEDE
214-2019-21010105;SESI - SEDE
214-2019-21010301;SESI - SEDE
214-2019-21010302;SESI - SEDE
214-2019-21010401;SESI - SEDE
214-2019-21010501;SESI - SEDE
214-2019-21010601;SESI - SEDE
214-2019-21010701;SESI - SEDE
214-2019-21010801;SESI - SEDE
214-2019-21030106;SESI - PROJETOS
214-2019-21030107;SESI - PROJETOS
214-2019-21030108;SESI - PROJETOS
214-2019-21030109;SESI - PROJETOS
214-2019-21030110;SESI - PROJETOS
214-2019-21030111;SESI - PROJETOS
214-2019-21030112;SESI - PROJETOS
214-2019-21030113;SESI - PROJETOS
214-2019-21030114;SESI - PROJETOS
214-2019-21030115;SESI - PROJETOS
214-2019-9999999999;CENTRO_EMPRESA
214-2020-21010101;SESI - SEDE
214-2020-21010102;SESI - SEDE
214-2020-21010103;SESI - SEDE
214-2020-21010104;SESI - SEDE
214-2020-21010105;SESI - SEDE
214-2020-21010301;SESI - SEDE
214-2020-21010302;SESI - SEDE
214-2020-21010401;SESI - SEDE
214-2020-21010501;SESI - SEDE
214-2020-21010601;SESI - SEDE
